Van,An,Binh,Chi,Dung,Em,Phong
0,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
100,9918.95,10100.00,9860.00,9950.00,10040.00,10131.05
200,9898.95,9840.00,9870.00,10020.00,10140.00,10231.05
300,9908.95,9940.00,9970.00,10090.00,9910.00,10181.05
400,9678.95,9890.00,10040.00,10130.00,10040.00,10221.05
500,9808.95,9960.00,9930.00,10350.00,9810.00,10141.05
600,9908.95,9985.00,9925.00,10270.00,9820.00,10091.05
700,10008.95,9875.00,9755.00,10295.00,10025.00,10041.05
800,10018.95,9615.00,9735.00,10185.00,10245.00,10201.05
900,10118.95,9745.00,9775.00,10135.00,10105.00,10121.05
1000,10008.95,9725.00,9905.00,10295.00,9935.00,10131.05
1100,10018.95,9825.00,9750.00,10380.00,9945.00,10081.05
1200,10043.95,9655.00,9880.00,10480.00,9895.00,10046.05
1300,9978.95,9545.00,9710.00,10580.00,9920.00,10266.05
1400,10078.95,9465.00,9810.00,10740.00,9660.00,10246.05
1500,9996.00,9477.95,9940.00,10840.00,9580.00,10166.05
1600,10036.00,9427.95,9950.00,11000.00,9410.00,10176.05
1700,9806.00,9527.95,10065.00,11010.00,9480.00,10111.05
1800,9756.00,9687.95,10045.00,10930.00,9370.00,10211.05
1900,9676.00,9757.95,9965.00,11000.00,9170.00,10431.05
2000,9626.00,9887.95,10125.00,10980.00,9060.00,10321.05
2100,9756.00,9807.95,10015.00,10960.00,9100.00,10361.05
2200,9946.00,9607.95,10025.00,11120.00,9020.00,10281.05
2300,9982.49,9557.95,9795.00,11130.00,9000.00,10534.57
2400,10019.92,9507.95,9867.57,11050.00,9040.00,10514.57
2500,9909.92,9697.95,9937.57,10910.00,8990.00,10554.57
2600,9919.92,9707.95,9947.57,10830.00,9090.00,10504.57
2700,9749.92,9717.95,9927.57,10840.00,9190.00,10574.57
2800,9669.92,9757.95,9847.57,10850.00,9260.00,10614.57
2900,9709.92,9707.95,9977.57,10890.00,9120.00,10594.57
3000,9749.92,9657.95,10227.57,10960.00,8920.00,10484.57
3100,9549.92,9757.95,10357.57,11210.00,8720.00,10404.57
3200,9259.92,9887.95,10277.57,11250.00,8790.00,10534.57
3300,9329.92,9897.95,10137.57,11170.00,8770.00,10694.57
3400,9549.92,9847.95,10087.57,11030.00,8720.00,10764.57
3500,9676.03,9797.95,10041.46,11130.00,8820.00,10534.57
3600,9566.03,9687.95,9931.46,11170.00,8950.00,10694.57
3700,9486.03,9487.95,9851.46,11330.00,9080.00,10764.57
3800,9316.03,9377.95,9921.46,11400.00,9150.00,10834.57
3900,9326.03,9447.95,9931.46,11230.00,9130.00,10934.57
4000,9486.03,9247.95,9911.46,11345.00,9170.00,10839.57
4100,9556.03,9167.95,10071.46,11295.00,8970.00,10939.57
4200,9589.00,9211.27,9871.46,11305.00,9043.70,10979.57
4300,9662.33,9337.95,10001.46,11285.00,8813.70,10899.57
4400,9610.52,9289.76,10131.46,11325.00,8733.70,10909.57
4500,9620.52,9359.76,10111.46,11275.00,8833.70,10799.57
4600,9690.52,9159.76,10121.46,11465.00,8903.70,10659.57
4700,9699.27,9261.00,10041.46,11535.00,8943.70,10519.57
4800,9735.00,9326.54,9871.46,11523.73,8893.70,10649.57
4900,9835.00,9246.54,9911.46,11593.73,8723.70,10689.57
5000,9932.63,9196.54,9891.46,11606.11,8703.70,10669.57
5100,10025.98,9243.19,9901.46,11676.11,8473.70,10679.57
5200,10065.98,9073.19,9941.46,11716.11,8363.70,10839.57
5300,10089.55,8813.19,9862.89,11711.11,8583.70,10939.57
5400,10219.55,8733.19,9962.89,11511.11,8623.70,10949.57
5500,10169.55,8653.19,10152.89,11431.11,8603.70,10989.57
5600,10059.55,8633.19,10132.89,11651.11,8553.70,10969.57
5700,9889.55,8433.19,10247.89,11631.11,8608.70,11189.57
5800,9989.55,8533.19,10347.89,11491.11,8438.70,11199.57
5900,10325.46,8438.19,10297.89,11441.11,8362.78,11134.57
6000,10575.46,8358.19,10367.89,11511.11,8192.78,10994.57
6100,10405.46,8278.19,10437.89,11551.11,8232.78,11094.57
6200,10505.46,8153.19,10267.89,11771.11,8167.78,11134.57
